What is your main affiliation?,Which workshop(s) are you attending? Tick all that apply. See https://bdsi.anu.edu.au/training-courses/available-courses for more details about each workshop below.,How confident are you with R? (Select 1 star if no experience with R. Select 10 stars if you are very comfortable with R.),What are you expecting out of the workshop?,Which of these best describes your current primary role at ANU?
BDSI,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,1,Enlightenment,
RSB,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);,3,Know basic skill in R and get confidence using them.,postgraduate student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,1,To be able to analyse data set using our R,postgraduate student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,4,To be able to analyse and visualise my Honours project data.,honours student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,5,It can help me recall the knowledge about R and apply it proficiently in my work.,postgraduate student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,6,I am expecting to gain more proficiency at the data analysis and visualization aspects of R. In particular how to handle large datasets,honours student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,2,fully confidence of R programming ,honours student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,4,To become more literate with R and supplementary programs for data and statistical analysis and presentation.,honours student
JCSMR,Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);,7,"Expecting to get refreshed on using R. Hopefully, I will be able to see and apply the ways in which I can incorporate R specifically within my area of research.",honours student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);,4,Re-introduction on basic R skills and learning how R can be used for analyse of my data.,honours student
JCSMR,Introduction to R Programming (Wed 10AM-1PM 3rd April 2024);Data Wrangling with R (Mon 10AM-1PM 8th April 2024);Data Visualisation with R (Wed 10AM-1PM 10th April 2024);Reproducible Research with R (Fri 10AM-1PM 12th April 2024);,4,"At the moment, I do okay with understanding R code that has been written, but am not as good as writing my own code for a specific purpose/research question. I hope the course will help develop my practical skills at the command line.",honours student
