"origin","species_name","site_name","abundance"
"Native","Acacia dealbata","Dargo1.1",NA
"Native","Acacia falciformis","Dargo1.1",NA
"Native","Acacia mearnsii","Dargo1.1",NA
"Native","Acacia melanoxylon","Dargo1.1",NA
"Native","Acacia obliquinervia","Dargo1.1",NA
"Native","Acacia pycnantha","Dargo1.1",NA
"Native","Acacia terminalis","Dargo1.1",NA
"Native","Acaena agnipila","Dargo1.1",NA
"Native","Acaena echinata","Dargo1.1",NA
"Native","Acaena novae-zelandiae","Dargo1.1",NA
"Exotic","Acetosella vulgaris","Dargo1.1",2
"Native","Agrostis aemula","Dargo1.1",NA
"Exotic","Agrostis capillaris s.l.","Dargo1.1",3
"Native","Eragrostis cilianensis","Dargo1.1",NA
"Exotic","Aira caryophyllea","Dargo1.1",NA
"Exotic","Aira cupaniana","Dargo1.1",NA
"Exotic","Aira elegantissima","Dargo1.1",NA
"Exotic","Anagallis arvensis s.l.","Dargo1.1",1
"Exotic","Anthoxanthum odoratum","Dargo1.1",1
"Native","Aphanes arvensis","Dargo1.1",NA
"Exotic","Arctotheca calendula","Dargo1.1",NA
"Native","Arthropodium milleflorum","Dargo1.1",NA
"Native","Asperula conferta","Dargo1.1",NA
"Native","Asperula gunnii","Dargo1.1",NA
"Native","Asperula pusilla","Dargo1.1",NA
"Native","Asperula scoparia","Dargo1.1",NA
"Native","Austrostipa spp.","Dargo1.1",NA
"Native","Billardiera mutabilis","Dargo1.1",NA
"Native","Billardiera scandens","Dargo1.1",NA
"Native","Bothriochloa macra","Dargo1.1",NA
"Native","Brachyscome decipiens","Dargo1.1",NA
"Native","Brachyscome spathulata","Dargo1.1",NA
"Native","Bracteantha viscosa","Dargo1.1",NA
"Exotic","Briza maxima","Dargo1.1",1
"Exotic","Briza minor","Dargo1.1",NA
"Exotic","Bromus catharticus s.l.","Dargo1.1",NA
"Exotic","Bromus hordeaceus","Dargo1.1",1
"Native","Bursaria spinosa s.l.","Dargo1.1",NA
"Native","Carex appressa","Dargo1.1",NA
"Native","Carex breviculmis","Dargo1.1",NA
"Native","Carex gaudichaudiana","Dargo1.1",NA
"Native","Cassinia aculeata","Dargo1.1",NA
"Native","Cassinia longifolia","Dargo1.1",1
"Native","Celmisia tomentella","Dargo1.1",NA
"Exotic","Centaurium erythraea","Dargo1.1",NA
"Exotic","Cerastium glomeratum","Dargo1.1",NA
"Exotic","Cerastium vulgare","Dargo1.1",NA
"Native","Cheilanthes spp.","Dargo1.1",NA
"Exotic","Chenopodium album","Dargo1.1",NA
"Native","Chiloglottis valida","Dargo1.1",NA
"Exotic","Cirsium vulgare","Dargo1.1",1
"Native","Clematis aristata","Dargo1.1",NA
"Native","Clematis microphylla","Dargo1.1",NA
"Exotic","Conyza bonariensis","Dargo1.1",1
