site,transect,plot,settype, S,vegcvrall,freshholes,dung,distance (m)
Sanatti,T1,p001,Seasonal,9,0.35,71,100,0
Sanatti,T1,p002,Seasonal,13,0.4875,18,3,250
Sanatti,T1,p003,Seasonal,7,0.4625,5,0,500
Sanatti,T1,p004,Seasonal,7,0.49,0,3,750
Sanatti,T1,p005,Seasonal,6,0.45,0,3,1000
Sanatti,T1,p006,Seasonal,6,0.435,2,8,1250
Sanatti,T2,p007,Seasonal,5,0.2025,0,140,0
Sanatti,T2,p008,Seasonal,6,0.3875,15,6,250
Sanatti,T2,p009,Seasonal,7,0.325,0,6,500
Sanatti,T2,p010,Seasonal,6,0.5375,0,0,750
Sanatti,T2,p011,Seasonal,7,0.65,2,0,1000
Sanatti,T2,p012,Seasonal,11,0.3875,0,5,1250
Sanatti,T3,p013,Seasonal,4,0.04,12,75,0
Sanatti,T3,p014,Seasonal,8,0.3075,0,0,250
Sanatti,T3,p015,Seasonal,12,0.6625,1,0,500
Sanatti,T3,p016,Seasonal,9,0.5625,0,3,750
Sanatti,T3,p017,Seasonal,9,0.575,10,17,1000
Sanatti,T3,p018,Seasonal,8,0.625,18,13,1250
Sanatti,T4,p019,Permanent,5,0.03,7,170,0
Sanatti,T4,p020,Permanent,8,0.575,0,5,250
Sanatti,T4,p021,Permanent,7,0.415,9,6,500
Sanatti,T4,p022,Permanent,9,0.035,179,34,750
Sanatti,T4,p023,Permanent,14,0.5,0,5,1000
Sanatti,T4,p024,Permanent,7,0.475,0,7,1250
Sanatti,T5,p025,Permanent,2,0.0075,0,180,0
Sanatti,T5,p026,Permanent,9,0.4625,0,1,250
Sanatti,T5,p027,Permanent,10,0.4875,0,7,500
Sanatti,T5,p028,Permanent,13,0.2525,3,0,750
Sanatti,T5,p029,Permanent,12,0.3,0,1,1000
Sanatti,T5,p030,Permanent,10,0.175,29,3,1250
Sanatti,T6,p031,Permanent,4,0.0875,4,90,0
Sanatti,T6,p032,Permanent,12,0.5625,8,10,250
Sanatti,T6,p033,Permanent,11,0.55,1,5,500
Sanatti,T6,p034,Permanent,9,0.68,0,3,750
Sanatti,T6,p035,Permanent,7,0.45,13,3,1000
Sanatti,T6,p036,Permanent,7,0.425,51,28,1250
Wasama,T1,p037,Seasonal,5,0.1925,35,100,0
Wasama,T1,p038,Seasonal,7,0.4375,104,10,250
Wasama,T1,p039,Seasonal,10,0.4775,4,5,500
Wasama,T1,p040,Seasonal,10,0.4625,2,2,750
Wasama,T1,p041,Seasonal,10,0.1875,51,3,1000
Wasama,T1,p042,Seasonal,8,0.58,23,7,1250
Wasama,T2,p043,Seasonal,4,0.13,27,140,0
Wasama,T2,p044,Seasonal,7,0.565,34,120,250
Wasama,T2,p045,Seasonal,7,0.6375,20,11,500
Wasama,T2,p046,Seasonal,7,0.6375,26,16,750
Wasama,T2,p047,Seasonal,8,0.3175,47,10,1000
Wasama,T2,p048,Seasonal,6,0.2875,3,7,1250
